Source_Distance(m), Centroid_Error(m), Confidence_Radius(m)
1.414214, 0.007994, 0.253887
2.828427, 0.002545, 0.204917
4.242641, 0.001414, 0.175241
5.656854, 0.001136, 0.161916
7.071068, 0.001058, 0.164968
8.485281, 0.001067, 0.186796
9.899495, 0.001158, 0.209651
11.313708, 0.001321, 0.235373
12.727922, 0.001545, 0.264181
14.142136, 0.001818, 0.295810
15.556349, 0.002129, 0.329640
16.970563, 0.002469, 0.365154
18.384776, 0.002832, 0.401943
19.798990, 0.003214, 0.439699
21.213203, 0.003611, 0.478193
22.627417, 0.004019, 0.517259
24.041631, 0.004437, 0.556771
25.455844, 0.004863, 0.596637
26.870058, 0.005296, 0.636787
28.284271, 0.005735, 0.677166
29.698485, 0.006178, 0.717734
31.112698, 0.006626, 0.758457
32.526912, 0.007077, 0.799311
33.941125, 0.007531, 0.840273
35.355339, 0.007988, 0.881328
36.769553, 0.008448, 0.922463
38.183766, 0.008910, 0.963665
39.597980, 0.009373, 1.004926
41.012193, 0.009838, 1.046239
42.426407, 0.010305, 1.087596
43.840620, 0.010773, 1.128993
45.254834, 0.011243, 1.170424
46.669048, 0.011713, 1.211887
48.083261, 0.012185, 1.253377
49.497475, 0.012657, 1.294891
50.911688, 0.013130, 1.336428
52.325902, 0.013604, 1.377984
53.740115, 0.014079, 1.419559
55.154329, 0.014555, 1.461150
56.568542, 0.015031, 1.502755
57.982756, 0.015507, 1.544374
59.396970, 0.015984, 1.586006
60.811183, 0.016462, 1.627648
62.225397, 0.016940, 1.669301
63.639610, 0.017419, 1.710964
65.053824, 0.017897, 1.752635
66.468037, 0.018377, 1.794315
67.882251, 0.018856, 1.836001
69.296465, 0.019336, 1.877695
70.710678, 0.019816, 1.919396
72.124892, 0.020297, 1.961102
73.539105, 0.020777, 2.002814
74.953319, 0.021258, 2.044531
76.367532, 0.021740, 2.086253
77.781746, 0.022221, 2.127980
79.195959, 0.022703, 2.169711
80.610173, 0.023185, 2.211445
82.024387, 0.023667, 2.253184
83.438600, 0.024149, 2.294926
84.852814, 0.024631, 2.336672
86.267027, 0.025114, 2.378421
87.681241, 0.025596, 2.420173
89.095454, 0.026079, 2.461927
90.509668, 0.026562, 2.503684
91.923882, 0.027045, 2.545444
93.338095, 0.027528, 2.587206
94.752309, 0.028012, 2.628970
96.166522, 0.028495, 2.670737
97.580736, 0.028979, 2.712506
98.994949, 0.029463, 2.754276
100.409163, 0.029946, 2.796048
101.823376, 0.030430, 2.837823
103.237590, 0.030914, 2.879598
104.651804, 0.031398, 2.921375
106.066017, 0.031882, 2.963154
107.480231, 0.032367, 3.004935
108.894444, 0.032851, 3.046716
110.308658, 0.033335, 3.088499
111.722871, 0.033820, 3.130284
113.137085, 0.034304, 3.172069
114.551299, 0.034789, 3.213856
115.965512, 0.035274, 3.255644
117.379726, 0.035758, 3.297433
118.793939, 0.036243, 3.339223
120.208153, 0.036728, 3.381014
121.622366, 0.037213, 3.422806
123.036580, 0.037698, 3.464598
124.450793, 0.038183, 3.506392
125.865007, 0.038668, 3.548186
127.279221, 0.039153, 3.589982
128.693434, 0.039638, 3.631778
130.107648, 0.040123, 3.673575
131.521861, 0.040609, 3.715373
132.936075, 0.041094, 3.757170
134.350288, 0.041579, 3.798970
135.764502, 0.042065, 3.840769
137.178716, 0.042550, 3.882570
138.592929, 0.043035, 3.924371
140.007143, 0.043521, 3.966172
141.421356, 0.044006, 4.007974
142.835570, 0.044492, 4.049777
144.249783, 0.044977, 4.091580
145.663997, 0.045463, 4.133384
147.078210, 0.045949, 4.175187
148.492424, 0.046434, 4.216992
149.906638, 0.046920, 4.258797
151.320851, 0.047406, 4.300602
152.735065, 0.047891, 4.342408
154.149278, 0.048377, 4.384215
155.563492, 0.048863, 4.426022
156.977705, 0.049349, 4.467829
158.391919, 0.049835, 4.509637
159.806133, 0.050321, 4.551445
161.220346, 0.050807, 4.593253
162.634560, 0.051293, 4.635062
164.048773, 0.051778, 4.676872
165.462987, 0.052264, 4.718680
166.877200, 0.052750, 4.760490
168.291414, 0.053236, 4.802300
169.705627, 0.053723, 4.844111
171.119841, 0.054209, 4.885921
172.534055, 0.054695, 4.927731
173.948268, 0.055180, 4.969545
175.362482, 0.055667, 5.011355
176.776695, 0.056153, 5.053166
178.190909, 0.056639, 5.094979
179.605122, 0.057125, 5.136792
181.019336, 0.057611, 5.178605
182.433550, 0.058098, 5.220417
183.847763, 0.058584, 5.262230
185.261977, 0.059070, 5.304043
186.676190, 0.059556, 5.345857
188.090404, 0.060042, 5.387671
189.504617, 0.060529, 5.429483
190.918831, 0.061015, 5.471298
192.333044, 0.061501, 5.513113
193.747258, 0.061988, 5.554926
195.161472, 0.062474, 5.596742
196.575685, 0.062960, 5.638557
197.989899, 0.063446, 5.680372
199.404112, 0.063933, 5.722188
200.818326, 0.064419, 5.764003
202.232539, 0.064905, 5.805819
203.646753, 0.065392, 5.847636
205.060967, 0.065878, 5.889452
206.475180, 0.066365, 5.931268
207.889394, 0.066851, 5.973082
209.303607, 0.067337, 6.014900
210.717821, 0.067824, 6.056717
212.132034, 0.068310, 6.098534
213.546248, 0.068797, 6.140351
214.960461, 0.069283, 6.182167
216.374675, 0.069770, 6.223985
217.788889, 0.070257, 6.265801
219.203102, 0.070743, 6.307619
220.617316, 0.071229, 6.349437
222.031529, 0.071716, 6.391254
223.445743, 0.072203, 6.433073
224.859956, 0.072689, 6.474890
226.274170, 0.073176, 6.516708
227.688384, 0.073662, 6.558527
229.102597, 0.074149, 6.600345
230.516811, 0.074635, 6.642164
231.931024, 0.075122, 6.683980
233.345238, 0.075609, 6.725800
234.759451, 0.076095, 6.767619
236.173665, 0.076582, 6.809438
237.587878, 0.077068, 6.851257
239.002092, 0.077555, 6.893077
240.416306, 0.078041, 6.934898
241.830519, 0.078528, 6.976716
243.244733, 0.079015, 7.018534
244.658946, 0.079501, 7.060355
246.073160, 0.079988, 7.102173
247.487373, 0.080475, 7.143993
248.901587, 0.080962, 7.185813
250.315801, 0.081448, 7.227633
251.730014, 0.081935, 7.269452
253.144228, 0.082421, 7.311272
254.558441, 0.082908, 7.353092
255.972655, 0.083395, 7.394914
257.386868, 0.083881, 7.436734
258.801082, 0.084368, 7.478554
260.215295, 0.084855, 7.520375
261.629509, 0.085342, 7.562191
263.043723, 0.085827, 7.604017
264.457936, 0.086315, 7.645837
265.872150, 0.086802, 7.687653
267.286363, 0.087289, 7.729476
268.700577, 0.087775, 7.771299
270.114790, 0.088262, 7.813118
271.529004, 0.088750, 7.854941
272.943218, 0.089236, 7.896759
274.357431, 0.089722, 7.938582
275.771645, 0.090209, 7.980405
277.185858, 0.090695, 8.022222
278.600072, 0.091183, 8.064044
280.014285, 0.091670, 8.105868
281.428499, 0.092156, 8.147689
282.842712, 0.092642, 8.189510
284.256926, 0.093129, 8.231331
285.671140, 0.093616, 8.273154
287.085353, 0.094104, 8.314976
288.499567, 0.094591, 8.356795
289.913780, 0.095077, 8.398618
291.327994, 0.095563, 8.440438
292.742207, 0.096051, 8.482260
294.156421, 0.096537, 8.524086
295.570635, 0.097024, 8.565906
296.984848, 0.097511, 8.607725
298.399062, 0.097997, 8.649551
299.813275, 0.098485, 8.691371
301.227489, 0.098972, 8.733193
302.641702, 0.099458, 8.775015
304.055916, 0.099945, 8.816840
305.470129, 0.100432, 8.858663
306.884343, 0.100919, 8.900483
308.298557, 0.101406, 8.942305
309.712770, 0.101891, 8.984130
311.126984, 0.102378, 9.025950
312.541197, 0.102866, 9.067771
313.955411, 0.103354, 9.109597
315.369624, 0.103840, 9.151419
316.783838, 0.104326, 9.193241
318.198052, 0.104814, 9.235065
319.612265, 0.105301, 9.276889
321.026479, 0.105787, 9.318708
322.440692, 0.106275, 9.360532
323.854906, 0.106761, 9.402356
325.269119, 0.107248, 9.444178
326.683333, 0.107735, 9.486001
328.097546, 0.108222, 9.527827
329.511760, 0.108708, 9.569647
330.925974, 0.109196, 9.611469
332.340187, 0.109682, 9.653292
333.754401, 0.110170, 9.695110
335.168614, 0.110655, 9.736940
336.582828, 0.111143, 9.778763
337.997041, 0.111630, 9.820582
339.411255, 0.112117, 9.862405
340.825469, 0.112605, 9.904235
342.239682, 0.113091, 9.946053
343.653896, 0.113578, 9.987876
345.068109, 0.114063, 10.029703
346.482323, 0.114551, 10.071526
347.896536, 0.115038, 10.113350
349.310750, 0.115525, 10.155171
350.724963, 0.116013, 10.196997
352.139177, 0.116499, 10.238820
353.553391, 0.116987, 10.280642
354.967604, 0.117473, 10.322469
356.381818, 0.117960, 10.364292
357.796031, 0.118448, 10.406113
359.210245, 0.118935, 10.447935
360.624458, 0.119420, 10.489762
362.038672, 0.119908, 10.531584
363.452886, 0.120394, 10.573410
364.867099, 0.120882, 10.615231
366.281313, 0.121369, 10.657056
367.695526, 0.121856, 10.698875
369.109740, 0.122344, 10.740701
370.523953, 0.122829, 10.782525
371.938167, 0.123316, 10.824351
373.352380, 0.123803, 10.866178
374.766594, 0.124292, 10.907997
376.180808, 0.124779, 10.949820
377.595021, 0.125265, 10.991647
379.009235, 0.125752, 11.033475
380.423448, 0.126239, 11.075290
381.837662, 0.126728, 11.117123
383.251875, 0.127211, 11.158945
384.666089, 0.127700, 11.200763
386.080303, 0.128186, 11.242592
387.494516, 0.128674, 11.284418
388.908730, 0.129162, 11.326239
390.322943, 0.129647, 11.368067
391.737157, 0.130133, 11.409889
393.151370, 0.130621, 11.451711
394.565584, 0.131107, 11.493539
395.979797, 0.131595, 11.535361
397.394011, 0.132084, 11.577189
398.808225, 0.132568, 11.619009
400.222438, 0.133057, 11.660834
401.636652, 0.133543, 11.702658
403.050865, 0.134030, 11.744486
404.465079, 0.134517, 11.786305
405.879292, 0.135005, 11.828128
407.293506, 0.135491, 11.869954
408.707720, 0.135979, 11.911779
410.121933, 0.136466, 11.953604
411.536147, 0.136953, 11.995427
412.950360, 0.137438, 12.037252
414.364574, 0.137927, 12.079079
415.778787, 0.138413, 12.120903
417.193001, 0.138899, 12.162727
418.607214, 0.139388, 12.204552
420.021428, 0.139873, 12.246374
421.435642, 0.140361, 12.288200
422.849855, 0.140847, 12.330025
424.264069, 0.141334, 12.371850
425.678282, 0.141823, 12.413676
427.092496, 0.142309, 12.455504
428.506709, 0.142796, 12.497325
429.920923, 0.143283, 12.539145
431.335137, 0.143769, 12.580975
432.749350, 0.144259, 12.622799
434.163564, 0.144743, 12.664623
435.577777, 0.145232, 12.706442
436.991991, 0.145719, 12.748273
438.406204, 0.146204, 12.790092
439.820418, 0.146694, 12.831922
441.234631, 0.147181, 12.873749
442.648845, 0.147667, 12.915573
444.063059, 0.148154, 12.957399
445.477272, 0.148640, 12.999220
446.891486, 0.149126, 13.041045
448.305699, 0.149615, 13.082872
449.719913, 0.150103, 13.124695
451.134126, 0.150587, 13.166522
452.548340, 0.151076, 13.208340
453.962554, 0.151563, 13.250174
455.376767, 0.152050, 13.291993
456.790981, 0.152538, 13.333818
458.205194, 0.153024, 13.375643
459.619408, 0.153512, 13.417466
461.033621, 0.153998, 13.459296
462.447835, 0.154486, 13.501117
463.862048, 0.154972, 13.542946
465.276262, 0.155459, 13.584771
466.690476, 0.155945, 13.626596
468.104689, 0.156433, 13.668419
469.518903, 0.156919, 13.710245
470.933116, 0.157407, 13.752074
472.347330, 0.157893, 13.793895
473.761543, 0.158380, 13.835720
475.175757, 0.158869, 13.877548
476.589971, 0.159357, 13.919371
478.004184, 0.159842, 13.961196
479.418398, 0.160331, 14.003027
480.832611, 0.160816, 14.044844
482.246825, 0.161304, 14.086680
483.661038, 0.161792, 14.128498
485.075252, 0.162278, 14.170319
486.489465, 0.162768, 14.212147
487.903679, 0.163252, 14.253975
489.317893, 0.163740, 14.295795
490.732106, 0.164225, 14.337622
492.146320, 0.164714, 14.379443
493.560533, 0.165199, 14.421280
494.974747, 0.165689, 14.463098
496.388960, 0.166174, 14.504923
497.803174, 0.166662, 14.546750
499.217388, 0.167149, 14.588569
500.631601, 0.167635, 14.630400
502.045815, 0.168123, 14.672224
503.460028, 0.168608, 14.714054
504.874242, 0.169096, 14.755876
506.288455, 0.169583, 14.797708
507.702669, 0.170070, 14.839533
509.116882, 0.170559, 14.881349
510.531096, 0.171045, 14.923174
511.945310, 0.171531, 14.965001
513.359523, 0.172018, 15.006833
514.773737, 0.172505, 15.048653
516.187950, 0.172992, 15.090474
517.602164, 0.173480, 15.132301
519.016377, 0.173967, 15.174139
520.430591, 0.174452, 15.215955
521.844805, 0.174943, 15.257782
523.259018, 0.175426, 15.299609
524.673232, 0.175918, 15.341428
526.087445, 0.176402, 15.383258
527.501659, 0.176892, 15.425074
528.915872, 0.177375, 15.466913
530.330086, 0.177863, 15.508728
531.744299, 0.178352, 15.550555
533.158513, 0.178839, 15.592390
534.572727, 0.179327, 15.634205
535.986940, 0.179813, 15.676047
537.401154, 0.180297, 15.717862
538.815367, 0.180789, 15.759687
540.229581, 0.181274, 15.801503
541.643794, 0.181761, 15.843331
543.058008, 0.182249, 15.885165
544.472222, 0.182734, 15.926982
545.886435, 0.183221, 15.968813
547.300649, 0.183711, 16.010645
548.714862, 0.184198, 16.052461
550.129076, 0.184685, 16.094285
551.543289, 0.185173, 16.136106
552.957503, 0.185655, 16.177946
554.371716, 0.186144, 16.219770
555.785930, 0.186634, 16.261595
557.200144, 0.187122, 16.303419
558.614357, 0.187607, 16.345242
560.028571, 0.188093, 16.387075
561.442784, 0.188578, 16.428897
562.856998, 0.189066, 16.470732
564.271211, 0.189558, 16.512548
565.685425, 0.190038, 16.554359
