Source_Distance(m), Centroid_Error(m), Confidence_Radius(m)
1.316535, 0.005419, 0.159635
1.323613, 0.005413, 0.160274
1.330691, 0.005408, 0.160916
1.337770, 0.005404, 0.161562
1.344848, 0.005401, 0.162212
1.351926, 0.005400, 0.162865
1.359004, 0.005399, 0.163522
1.366082, 0.005400, 0.164183
1.373160, 0.005402, 0.164848
1.380238, 0.005405, 0.165517
1.387317, 0.005409, 0.166189
1.394395, 0.005413, 0.166865
1.401473, 0.005419, 0.167544
1.408551, 0.005425, 0.168228
1.415629, 0.005433, 0.168914
1.422707, 0.005441, 0.169605
1.429785, 0.005450, 0.170299
1.436864, 0.005460, 0.170997
1.443942, 0.005471, 0.171699
1.451020, 0.005483, 0.172404
1.458098, 0.005495, 0.173112
1.465176, 0.005508, 0.173824
1.472254, 0.005521, 0.174540
1.479333, 0.005536, 0.175259
1.486411, 0.005551, 0.175981
1.493489, 0.005566, 0.176707
1.500567, 0.005583, 0.177436
1.507645, 0.005599, 0.178169
1.514723, 0.005617, 0.178905
1.521801, 0.005635, 0.179644
1.528880, 0.005653, 0.180386
1.535958, 0.005673, 0.181132
1.543036, 0.005692, 0.181881
1.550114, 0.005712, 0.182633
1.557192, 0.005733, 0.183388
1.564270, 0.005754, 0.184146
1.571348, 0.005776, 0.184908
1.578427, 0.005798, 0.185672
1.585505, 0.005820, 0.186440
1.592583, 0.005843, 0.187210
1.599661, 0.005866, 0.187983
1.606739, 0.005890, 0.188760
1.613817, 0.005914, 0.189539
1.620895, 0.005938, 0.190321
1.627974, 0.005963, 0.191106
1.635052, 0.005989, 0.191893
1.642130, 0.006014, 0.192684
1.649208, 0.006040, 0.193477
1.656286, 0.006066, 0.194273
1.663364, 0.006093, 0.195071
1.670442, 0.006120, 0.195872
1.677521, 0.006147, 0.196676
1.684599, 0.006174, 0.197482
1.691677, 0.006202, 0.198291
1.698755, 0.006230, 0.199103
1.705833, 0.006259, 0.199917
1.712911, 0.006287, 0.200733
1.719989, 0.006316, 0.201552
1.727068, 0.006345, 0.202373
1.734146, 0.006375, 0.203196
1.741224, 0.006404, 0.204022
1.748302, 0.006434, 0.204851
1.755380, 0.006464, 0.205681
1.762458, 0.006495, 0.206514
1.769536, 0.006525, 0.207349
1.776615, 0.006556, 0.208186
1.783693, 0.006587, 0.209026
1.790771, 0.006618, 0.209867
1.797849, 0.006650, 0.210711
1.804927, 0.006681, 0.211557
1.812005, 0.006713, 0.212405
1.819084, 0.006745, 0.213255
1.826162, 0.006777, 0.214107
1.833240, 0.006810, 0.214961
1.840318, 0.006842, 0.215817
1.847396, 0.006875, 0.216675
1.854474, 0.006908, 0.217535
1.861552, 0.006941, 0.218397
1.868631, 0.006974, 0.219261
1.875709, 0.007007, 0.220127
1.882787, 0.007041, 0.220994
1.889865, 0.007074, 0.221864
1.896943, 0.007108, 0.222735
1.904021, 0.007142, 0.223608
1.911099, 0.007176, 0.224483
1.918178, 0.007210, 0.225359
1.925256, 0.007245, 0.226238
1.932334, 0.007279, 0.227118
1.939412, 0.007314, 0.227999
1.946490, 0.007348, 0.228882
1.953568, 0.007383, 0.229767
1.960646, 0.007418, 0.230654
1.967725, 0.007453, 0.231542
1.974803, 0.007488, 0.232432
1.981881, 0.007524, 0.233323
1.988959, 0.007559, 0.234216
1.996037, 0.007595, 0.235111
2.003115, 0.007630, 0.236007
