Time (s),Delay Mic3 (s)
23.85,-0.0001875
23.95,0.012333333333333333
24.05,-0.0001875
24.15,-0.0001875
24.25,-0.021770833333333333
24.35,0.0032291666666666666
24.45,0.024854166666666667
24.55,-0.0126875
24.65,-0.0001875
24.75,-0.0001875
24.85,-0.0126875
24.95,-0.0001875
25.05,-0.0001875
25.15,-0.0001875
25.25,-0.0001875
25.35,-0.0001875
25.45,-0.0001875
25.55,-0.0001875
25.65,-0.0001875
25.75,-0.0001875
25.85,-0.0001875
25.95,-0.0001875
26.05,-0.0001875
26.15,-0.0001875
26.25,-0.0001875
26.35,-0.0001875
26.45,-0.0001875
26.55,-0.0036041666666666665
26.65,0.012354166666666666
26.75,0.019145833333333334
26.85,-0.0001875
26.95,-0.0001875
27.05,-0.0001875
27.15,-0.0001875
27.25,-0.0001875
27.35,0.014604166666666666
27.45,0.012354166666666666
27.55,-0.0001875
27.65,-0.0001875
27.75,-0.0001875
27.85,-0.0001875
27.95,-0.0001875
28.05,0.0055
28.15,-0.0001875
28.25,-0.0001875
28.35,-0.0001875
28.45,-0.0001875
28.55,-0.0001875
28.65,-0.0001875
28.75,-0.0001875
28.85,-0.012666666666666666
28.95,-0.0001875
29.05,-0.0149375
29.15,-0.012645833333333334
29.25,-0.0126875
29.35,-0.00016666666666666666
29.45,-0.0001875
29.55,0.019166666666666665
29.65,-0.0001875
29.75,-0.00020833333333333335
29.85,-0.0001875
29.95,-0.00020833333333333335
