Source_Distance(m), Centroid_Error(m), Confidence_Radius(m)
27.481609, 0.005485, 0.654223
27.621757, 0.005529, 0.658224
27.761904, 0.005572, 0.662228
27.902051, 0.005616, 0.666233
28.042199, 0.005659, 0.670240
28.182346, 0.005703, 0.674249
28.322493, 0.005747, 0.678261
28.462641, 0.005790, 0.682273
28.602788, 0.005834, 0.686288
28.742935, 0.005878, 0.690305
28.883082, 0.005922, 0.694323
29.023230, 0.005966, 0.698343
29.163377, 0.006010, 0.702364
29.303524, 0.006054, 0.706388
29.443672, 0.006098, 0.710412
29.583819, 0.006142, 0.714439
29.723966, 0.006186, 0.718467
29.864113, 0.006230, 0.722496
30.004261, 0.006275, 0.726527
30.144408, 0.006319, 0.730559
30.284555, 0.006363, 0.734593
30.424703, 0.006408, 0.738628
30.564850, 0.006452, 0.742665
30.704997, 0.006496, 0.746703
30.845144, 0.006541, 0.750742
30.985292, 0.006585, 0.754783
31.125439, 0.006630, 0.758825
31.265586, 0.006674, 0.762868
31.405734, 0.006719, 0.766913
31.545881, 0.006764, 0.770958
31.686028, 0.006808, 0.775005
31.826175, 0.006853, 0.779053
31.966323, 0.006898, 0.783103
32.106470, 0.006942, 0.787153
32.246617, 0.006987, 0.791204
32.386765, 0.007032, 0.795257
32.526912, 0.007077, 0.799311
32.667059, 0.007122, 0.803365
32.807207, 0.007167, 0.807421
32.947354, 0.007212, 0.811478
33.087501, 0.007257, 0.815536
33.227648, 0.007302, 0.819595
33.367796, 0.007347, 0.823655
33.507943, 0.007392, 0.827716
33.648090, 0.007437, 0.831777
33.788238, 0.007482, 0.835840
33.928385, 0.007527, 0.839904
34.068532, 0.007572, 0.843968
34.208679, 0.007618, 0.848034
34.348827, 0.007663, 0.852100
34.488974, 0.007708, 0.856167
34.629121, 0.007753, 0.860235
34.769269, 0.007799, 0.864304
34.909416, 0.007844, 0.868374
35.049563, 0.007889, 0.872444
35.189710, 0.007935, 0.876516
35.329858, 0.007980, 0.880588
35.470005, 0.008026, 0.884661
35.610152, 0.008071, 0.888734
35.750300, 0.008117, 0.892809
35.890447, 0.008162, 0.896884
36.030594, 0.008208, 0.900960
36.170741, 0.008253, 0.905036
36.310889, 0.008299, 0.909114
36.451036, 0.008344, 0.913192
36.591183, 0.008390, 0.917270
36.731331, 0.008435, 0.921350
36.871478, 0.008481, 0.925430
37.011625, 0.008527, 0.929511
37.151773, 0.008573, 0.933592
37.291920, 0.008618, 0.937674
37.432067, 0.008664, 0.941757
37.572214, 0.008710, 0.945840
37.712362, 0.008755, 0.949924
37.852509, 0.008801, 0.954008
37.992656, 0.008847, 0.958093
38.132804, 0.008893, 0.962179
38.272951, 0.008939, 0.966265
38.413098, 0.008985, 0.970352
38.553245, 0.009031, 0.974440
38.693393, 0.009076, 0.978527
38.833540, 0.009122, 0.982616
38.973687, 0.009168, 0.986705
39.113835, 0.009214, 0.990795
39.253982, 0.009260, 0.994885
39.394129, 0.009306, 0.998975
39.534276, 0.009352, 1.003066
39.674424, 0.009398, 1.007158
39.814571, 0.009444, 1.011250
39.954718, 0.009490, 1.015343
40.094866, 0.009536, 1.019436
40.235013, 0.009583, 1.023529
40.375160, 0.009629, 1.027623
40.515307, 0.009675, 1.031718
40.655455, 0.009721, 1.035813
40.795602, 0.009767, 1.039908
40.935749, 0.009813, 1.044004
41.075897, 0.009859, 1.048101
41.216044, 0.009906, 1.052197
41.356191, 0.009952, 1.056295
41.496338, 0.009998, 1.060392
41.636486, 0.010044, 1.064490
41.776633, 0.010091, 1.068589
41.916780, 0.010137, 1.072688
42.056928, 0.010183, 1.076787
42.197075, 0.010229, 1.080887
42.337222, 0.010276, 1.084987
42.477370, 0.010322, 1.089087
42.617517, 0.010368, 1.093188
42.757664, 0.010415, 1.097289
42.897811, 0.010461, 1.101391
43.037959, 0.010507, 1.105493
43.178106, 0.010554, 1.109595
43.318253, 0.010600, 1.113698
43.458401, 0.010647, 1.117801
43.598548, 0.010693, 1.121904
43.738695, 0.010740, 1.126008
43.878842, 0.010786, 1.130112
44.018990, 0.010832, 1.134216
44.159137, 0.010879, 1.138321
44.299284, 0.010925, 1.142426
44.439432, 0.010972, 1.146532
44.579579, 0.011018, 1.150638
44.719726, 0.011065, 1.154744
44.859873, 0.011111, 1.158850
45.000021, 0.011158, 1.162957
45.140168, 0.011205, 1.167064
45.280315, 0.011251, 1.171171
45.420463, 0.011298, 1.175279
45.560610, 0.011344, 1.179387
45.700757, 0.011391, 1.183495
45.840904, 0.011438, 1.187603
45.981052, 0.011484, 1.191712
46.121199, 0.011531, 1.195821
46.261346, 0.011577, 1.199931
46.401494, 0.011624, 1.204040
46.541641, 0.011671, 1.208150
46.681788, 0.011717, 1.212260
46.821936, 0.011764, 1.216371
46.962083, 0.011811, 1.220482
47.102230, 0.011858, 1.224592
47.242377, 0.011904, 1.228704
47.382525, 0.011951, 1.232815
47.522672, 0.011998, 1.236927
47.662819, 0.012044, 1.241039
47.802967, 0.012091, 1.245151
47.943114, 0.012138, 1.249264
48.083261, 0.012185, 1.253377
48.223408, 0.012231, 1.257490
48.363556, 0.012278, 1.261603
48.503703, 0.012325, 1.265716
48.643850, 0.012372, 1.269830
