Source_Distance(m), Centroid_Error(m), Confidence_Radius(m)
1.316535, 0.531887, 3.329276
1.323613, 0.537419, 3.335237
1.330691, 0.542957, 3.341164
1.337770, 0.548530, 3.347139
1.344848, 0.553919, 3.353112
1.351926, 0.559575, 3.359112
1.359004, 0.565128, 3.365144
1.366082, 0.570678, 3.371194
1.373160, 0.576211, 3.377250
1.380238, 0.581743, 3.383335
1.387317, 0.587282, 3.389439
1.394395, 0.592837, 3.395562
1.401473, 0.598411, 3.401688
1.408551, 0.603960, 3.407869
1.415629, 0.609536, 3.414014
1.422707, 0.615044, 3.420202
1.429785, 0.620631, 3.426411
1.436864, 0.626191, 3.432627
1.443942, 0.631763, 3.438887
1.451020, 0.637300, 3.445117
1.458098, 0.642867, 3.451393
1.465176, 0.648543, 3.457666
1.472254, 0.654017, 3.463983
1.479333, 0.659573, 3.470291
1.486411, 0.665146, 3.476633
1.493489, 0.670724, 3.482971
1.500567, 0.676276, 3.489326
1.507645, 0.681837, 3.495718
1.514723, 0.687414, 3.502079
1.521801, 0.692976, 3.508602
1.528880, 0.698551, 3.514896
1.535958, 0.704127, 3.521321
1.543036, 0.709718, 3.527772
1.550114, 0.715284, 3.534217
1.557192, 0.720860, 3.540683
1.564270, 0.726438, 3.547161
1.571348, 0.732017, 3.553652
1.578427, 0.737597, 3.560156
1.585505, 0.743177, 3.566671
1.592583, 0.748759, 3.573199
1.599661, 0.754341, 3.579738
1.606739, 0.759925, 3.586294
1.613817, 0.765508, 3.592855
1.620895, 0.771132, 3.599426
1.627974, 0.776727, 3.606009
1.635052, 0.782357, 3.612610
1.642130, 0.787853, 3.619222
1.649208, 0.793454, 3.625847
1.656286, 0.799062, 3.632474
1.663364, 0.804657, 3.639113
1.670442, 0.810223, 3.645755
1.677521, 0.815803, 3.652415
1.684599, 0.821453, 3.659094
1.691677, 0.827034, 3.665771
1.698755, 0.832618, 3.672458
1.705833, 0.838204, 3.679155
1.712911, 0.843718, 3.685963
1.719989, 0.849405, 3.692576
1.727068, 0.854959, 3.699301
1.734146, 0.860557, 3.706031
1.741224, 0.866179, 3.712782
1.748302, 0.871761, 3.719535
1.755380, 0.877359, 3.726297
1.762458, 0.882957, 3.733067
1.769536, 0.888555, 3.739845
1.776615, 0.894153, 3.746630
1.783693, 0.899752, 3.753424
1.790771, 0.905353, 3.760226
1.797849, 0.910915, 3.767053
1.804927, 0.916505, 3.773858
1.812005, 0.922131, 3.780679
1.819084, 0.927757, 3.787515
1.826162, 0.933365, 3.794357
1.833240, 0.938969, 3.801218
1.840318, 0.944669, 3.808075
1.847396, 0.950180, 3.814930
1.854474, 0.955786, 3.821804
1.861552, 0.961392, 3.828686
1.868631, 0.966999, 3.835576
1.875709, 0.972616, 3.842464
1.882787, 0.978236, 3.849352
1.889865, 0.983840, 3.856247
1.896943, 0.989458, 3.863170
1.904021, 0.995047, 3.870091
1.911099, 1.000634, 3.877018
1.918178, 1.006260, 3.883952
1.925256, 1.011861, 3.890890
1.932334, 1.017468, 3.897836
1.939412, 1.023083, 3.904777
1.946490, 1.028710, 3.911733
1.953568, 1.034315, 3.918698
1.960646, 1.039929, 3.925664
1.967725, 1.045542, 3.932640
1.974803, 1.051207, 3.939630
1.981881, 1.056768, 3.946607
1.988959, 1.062382, 3.953599
1.996037, 1.067996, 3.960596
2.003115, 1.073610, 3.967598
2.010193, 1.079225, 3.974606
2.017272, 1.084841, 3.981619
2.024350, 1.090456, 3.988638
2.031428, 1.096072, 3.995662
2.038506, 1.101688, 4.002690
2.045584, 1.107305, 4.009724
2.052662, 1.112922, 4.016763
2.059740, 1.118539, 4.023806
2.066819, 1.124156, 4.030855
2.073897, 1.129775, 4.037909
2.080975, 1.135373, 4.044967
2.088053, 1.141027, 4.052036
2.095131, 1.146620, 4.059104
2.102209, 1.152264, 4.066202
2.109287, 1.157870, 4.073246
2.116366, 1.163483, 4.080330
2.123444, 1.169134, 4.087416
2.130522, 1.174728, 4.094507
2.137600, 1.180347, 4.101600
2.144678, 1.185968, 4.108702
2.151756, 1.191589, 4.115804
2.158835, 1.197213, 4.122913
2.165913, 1.202808, 4.130022
2.172991, 1.208460, 4.137142
2.180069, 1.214072, 4.144261
2.187147, 1.219729, 4.151388
2.194225, 1.225349, 4.158517
2.201303, 1.230970, 4.165649
2.208382, 1.236591, 4.172785
2.215460, 1.242213, 4.179925
2.222538, 1.247836, 4.187069
2.229616, 1.253459, 4.194217
2.236694, 1.259082, 4.201368
2.243772, 1.264706, 4.208523
2.250850, 1.270331, 4.215682
2.257929, 1.275956, 4.222844
2.265007, 1.281582, 4.230010
2.272085, 1.287207, 4.237179
2.279163, 1.292834, 4.244351
2.286241, 1.298462, 4.251528
2.293319, 1.304054, 4.258703
2.300397, 1.309677, 4.265887
2.307476, 1.315308, 4.273073
2.314554, 1.320916, 4.280264
2.321632, 1.326555, 4.287459
2.328710, 1.332186, 4.294651
2.335788, 1.337811, 4.301853
2.342866, 1.343435, 4.309056
2.349944, 1.349048, 4.316260
2.357023, 1.354687, 4.323467
2.364101, 1.360314, 4.330678
2.371179, 1.365942, 4.337893
2.378257, 1.371569, 4.345111
2.385335, 1.377197, 4.352332
2.392413, 1.382823, 4.359555
2.399491, 1.388453, 4.366782
2.406570, 1.394079, 4.374011
2.413648, 1.399726, 4.381247
2.420726, 1.405354, 4.388482
2.427804, 1.410983, 4.395720
2.434882, 1.416611, 4.402960
2.441960, 1.422240, 4.410203
2.449039, 1.427881, 4.417447
2.456117, 1.433482, 4.424693
2.463195, 1.439112, 4.431946
2.470273, 1.444742, 4.439201
2.477351, 1.450429, 4.446460
2.484429, 1.456099, 4.453719
2.491507, 1.461745, 4.460981
2.498586, 1.467394, 4.468246
2.505664, 1.472862, 4.475633
2.512742, 1.478495, 4.482907
